id,tag_type,tag,weight
UC_61585a56d7b0c43ebd7551dd,project_key,health literacy,1.0
UC_61585a56d7b0c43ebd7551dd,project_key,self-help groups,0.97
UC_61585a56d7b0c43ebd7551dd,project_key,obstetrics,0.72
UC_61585a56d7b0c43ebd7551dd,project_key,india,0.51
UC_61585a56d7b0c43ebd7551dd,project_key,education,0.5
UC_61585a56d7b0c43ebd7551dd,project_key,non-randomized controlled trials,0.94
UC_61585a56d7b0c43ebd7551dd,project_key,parturition,0.55
UC_61585a56d7b0c43ebd7551dd,project_key,households,0.65
UC_61585a56d7b0c43ebd7551dd,project_key,health,0.41
UC_61585a56d7b0c43ebd7551dd,project_key,poverty,0.49
UC_61585a56d7b0c43ebd7551dd,project_key,social networking,0.93
UC_61585a56d7b0c43ebd7551dd,project_key,social capital,0.47
UC_61585a56d7b0c43ebd7551dd,project_key,rural women,1.0
UC_61585a56d7b0c43ebd7551dd,project_key,maternal health services,0.98
UC_61585a56d7b0c43ebd7551dd,project_key,prenatal care,1.0
UC_61585a56d7b0c43ebd7551dd,project_key,cross-sectional studies,0.66
UC_61585a56d7b0c43ebd7551dd,project_key,health services,0.67
UC_61585a56d7b0c43ebd7551dd,project_key,health behavior,1.0
UC_61585a56d7b0c43ebd7551dd,project_key,infant health,1.0
UC_61585a56d7b0c43ebd7551dd,project_key,maternal health,0.74
UC_61585a56d7b0c43ebd7551dd,project_key,health behavior,0.68
UC_61585a56d7b0c43ebd7551dd,project_key,neonates,0.48
UC_61585a56d7b0c43ebd7551dd,project_key,newborn infant,0.44
UC_61585a64d7b0c43ebd7551de,project_key,engagement,1.0
UC_61585a64d7b0c43ebd7551de,project_key,students,0.47
UC_61585a64d7b0c43ebd7551de,project_key,strategy,0.45
UC_61585a64d7b0c43ebd7551de,project_key,feedback,0.3
UC_61585a64d7b0c43ebd7551de,project_key,leverage,0.27
UC_61585a64d7b0c43ebd7551de,project_key,menstruation,1.0
UC_61585a64d7b0c43ebd7551de,project_key,confidence intervals,0.35
UC_61585a64d7b0c43ebd7551de,project_key,brain,0.43
UC_61585a64d7b0c43ebd7551de,project_key,menopause,1.0
UC_61585a64d7b0c43ebd7551de,project_key,menarche,0.29
UC_61585a64d7b0c43ebd7551de,project_key,hippocampus,1.0
UC_61585a64d7b0c43ebd7551de,project_key,waist-hip ratio,0.96
UC_61585a64d7b0c43ebd7551de,project_key,fats,0.73
UC_61585a64d7b0c43ebd7551de,project_key,overweight,0.93
UC_61585a64d7b0c43ebd7551de,project_key,obesity,0.88
UC_61585a64d7b0c43ebd7551de,project_key,electronics,1.0
UC_61585a64d7b0c43ebd7551de,project_key,examination,0.82
UC_61585a64d7b0c43ebd7551de,project_key,experience,0.45
UC_61585a64d7b0c43ebd7551de,project_key,software,0.39
UC_61585a64d7b0c43ebd7551de,project_key,history of science,0.36
UC_61585a64d7b0c43ebd7551de,project_key,meta-analysis,0.74
UC_61585a64d7b0c43ebd7551de,project_key,systematic reviews,0.73
UC_61585a64d7b0c43ebd7551de,project_key,lipids,0.63
UC_61585a64d7b0c43ebd7551de,project_key,hdl lipoproteins,0.12
UC_61585a64d7b0c43ebd7551de,project_key,ldl lipoproteins,0.12
UC_61585a64d7b0c43ebd7551de,project_key,growth differentiation factors,1.0
UC_61585a64d7b0c43ebd7551de,project_key,growth differentiation factor 15,0.98
UC_61585a64d7b0c43ebd7551de,project_key,transforming growth factors,0.84
UC_61585a64d7b0c43ebd7551de,project_key,transforming growth factors,0.66
UC_61585a64d7b0c43ebd7551de,project_key,cytokines,0.6
UC_61585a64d7b0c43ebd7551de,project_key,frontotemporal dementia with motor neuron disease,1.0
UC_61585a64d7b0c43ebd7551de,project_key,atrophy,0.55
UC_61585a64d7b0c43ebd7551de,project_key,gyrus cinguli,0.33
UC_61585a64d7b0c43ebd7551de,project_key,motor cortex,0.32
UC_61585a64d7b0c43ebd7551de,project_key,prefrontal cortex,0.19
UC_61585a81d7b0c43ebd7551e1,project_key,codes of conduct,1.0
UC_61585a81d7b0c43ebd7551e1,project_key,microfinance,0.87
UC_61585a81d7b0c43ebd7551e1,project_key,microfinance institutions,0.75
UC_61585a81d7b0c43ebd7551e1,project_key,india,0.35
UC_61585a81d7b0c43ebd7551e1,project_key,workable competition,0.29
UC_61585a81d7b0c43ebd7551e1,project_key,trade agreement,1.0
UC_61585a81d7b0c43ebd7551e1,project_key,insurance,0.88
UC_61585a81d7b0c43ebd7551e1,project_key,dispute resolution mechanism,0.68
UC_61585a81d7b0c43ebd7551e1,project_key,investment policy,0.63
UC_61585a81d7b0c43ebd7551e1,project_key,welfare economics,0.62
UC_61585a81d7b0c43ebd7551e1,project_key,cost-benefit analysis,1.0
UC_61585a81d7b0c43ebd7551e1,project_key,distributional impacts,0.89
UC_61585a81d7b0c43ebd7551e1,project_key,airports,0.68
UC_61585a81d7b0c43ebd7551e1,project_key,discount rate,0.68
UC_61585aa8d7b0c43ebd7551e2,project_key,carbidopa,0.26
UC_61585aa8d7b0c43ebd7551e2,project_key,levodopa drug combination carbidopa,0.86
UC_61585aa8d7b0c43ebd7551e2,project_key,myopia,1.0
UC_61585aa8d7b0c43ebd7551e2,project_key,levodopa,1.0
UC_61585aa8d7b0c43ebd7551e2,project_key,chickens,0.79
UC_61585aa8d7b0c43ebd7551e2,project_key,complementarity,1.0
UC_61585aa8d7b0c43ebd7551e2,project_key,microrna,0.85
UC_61585aa8d7b0c43ebd7551e2,project_key,animals,0.06
UC_61585aa8d7b0c43ebd7551e2,project_key,conservation,0.8
UC_61585aa8d7b0c43ebd7551e2,project_key,branching,0.77
UC_61585aa8d7b0c43ebd7551e2,project_key,lenses,0.84
UC_61585aa8d7b0c43ebd7551e2,project_key,pharmacology,0.59
UC_61585aa8d7b0c43ebd7551e2,project_key,adtn,0.87
UC_61585aa8d7b0c43ebd7551e2,project_key,dopamine,0.45
UC_61585aa8d7b0c43ebd7551e2,project_key,spiperone,0.41
UC_61585aa8d7b0c43ebd7551e2,project_key,sch 23390,0.17
UC_61585aa8d7b0c43ebd7551e2,project_key,bhutan,0.33
UC_61585aa8d7b0c43ebd7551e2,project_key,referral and consultation,0.14
UC_61585aa8d7b0c43ebd7551e2,project_key,logistic models,0.13
UC_61585aa8d7b0c43ebd7551e2,project_key,southeastern asia,0.12
UC_61585aa8d7b0c43ebd7551e2,project_key,ophthalmic solutions,0.37
UC_61585aa8d7b0c43ebd7551e2,project_key,intravitreal injections,0.3
UC_61585aa8d7b0c43ebd7551e2,project_key,deuterium,0.17
UC_61585aa8d7b0c43ebd7551e2,project_key,eye,0.5
UC_61585aa8d7b0c43ebd7551e2,project_key,safety,0.52
UC_61585aa8d7b0c43ebd7551e2,project_key,theoretical models,0.72
UC_61585aa8d7b0c43ebd7551e2,project_key,growth,0.42
UC_61585aa8d7b0c43ebd7551e2,project_key,animal models,0.27
UC_61585aa8d7b0c43ebd7551e2,project_key,epidemics,0.77
UC_61585aa8d7b0c43ebd7551e2,project_key,causality,0.16
