ID,Category,"Is related to researchers (yes=1, no=0, unknown=2)"
81111819,Quality assurance services,0
45111902,Videoconferencing systems,0
53121603,Backpacks,0
40161512,Electronic filters,0
80111713,Permanent information technology systems or database administrators,0
43223100,Digital mobile network infrastructure equipment and components,0
41104400,Laboratory incubating equipment,0
32121600,Resistors,0
70171502,Water resources planning services,0
81111801,Computer or network or internet security,0
80141900,Trade shows and exhibits,0
83101500,Water and sewer utilities,0
76101501,Washroom sanitation services,0
46181501,Protective aprons,0
23101509,Sanding machines,0
43231501,Helpdesk or call centre software,0
11141604,Paper wastes,0
70171700,Irrigation,0
52141503,Domestic garbage disposals,0
24101617,Scissor lift,0
71123002,"Management and operation of all facilities, engineering, modification and maintenance services for site or platform",0
25172800,Hydraulic systems and components,0
49181600,Target games and equipment,0
31161700,Nuts,0
10100000,Live animals,0
46191602,Fire sprinkler systems,0
72102303,Plumbing system construction,0
30161800,Cabinetry,0
43222619,Video networking equipment,0
41103303,Densitometers,0
25171900,Wheels and wheel trims,0
24102101,Cargo handling equipment,0
46181500,Safety apparel,0
70111705,Cemetery upkeep services,0
24112404,Box,0
40141726,Hydrants,0
70101602,Fishery research or experimentation services,1
23101503,Broaching machines,0
31162500,Brackets and braces,0
30110000,Concrete and cement and plaster,0
46182500,Personal safety devices or weapons,0
41111715,Telescopes,0
41106400,Primersand linkers and adaptors,0
45121602,Camera tripods,0
20102305,Utility service vehicles,0
80131801,Property management,0
49141504,Diving instruments or accessories,0
60131400,Percussion instruments,0
25172400,Fuel tanks and systems,0
60103807,History resource books,0
60103400,Geography and map skills resources and accessories,0
30181500,Sanitary ware,0
56101515,Beds,0
