id,weight,orig_id
GrantsGO960,-1.1999834621666665,GrantsGO38
GrantsGO2478,-0.7502646664696969,GrantsGO38
GrantsGO3415,-0.6319887237121211,GrantsGO38
GrantsGO3292,-0.3408767533636363,GrantsGO38
GrantsGO3460,-0.2899100370227272,GrantsGO38
GrantsGO4532,-0.2898952845227272,GrantsGO38
GrantsGO32,-0.20508460718181817,GrantsGO38
GrantsGO3692,-0.13928570884848485,GrantsGO38
GrantsGO2307,-0.1386137359318182,GrantsGO38
GrantsGO3673,-0.13817038658181818,GrantsGO38
GrantsGO460,-1.1850022123333332,GrantsGO27
GrantsGO520,-1.1768123468333334,GrantsGO27
GrantsGO37,-1.1656471032,GrantsGO27
GrantsGO4970,-1.1393488256,GrantsGO27
GrantsGO4971,-1.125537589,GrantsGO27
GrantsGO4391,-0.8558625109999999,GrantsGO27
GrantsGO34,-0.8537894121999999,GrantsGO27
Tenders6162aa1fe1b7f5c73e6fe8cc,-0.8409797373333332,GrantsGO27
GrantsGO3673,-0.8283038545999999,GrantsGO27
GrantsGO75,-0.8119258712499999,GrantsGO27
GrantsGO3409,-1.1279254928333333,GrantsGO44
GrantsGO3292,-0.45448710348571425,GrantsGO44
GrantsGO3460,-0.3986584366857142,GrantsGO44
GrantsGO4532,-0.39864055488571426,GrantsGO44
GrantsGO2122,-0.36894319161904754,GrantsGO44
GrantsGO2882,-0.3228011244571428,GrantsGO44
GrantsGO3789,-0.3164706662571428,GrantsGO44
GrantsGO2407,-0.3153939432571428,GrantsGO44
GrantsGO4692,-0.3130726834571428,GrantsGO44
GrantsGO2401,-0.3118816386571428,GrantsGO44
GrantsGO2279,-1.1732338279999999,GrantsGO34
GrantsGO4746,-0.7618849687499999,GrantsGO34
GrantsGO3528,-0.5734136205,GrantsGO34
GrantsGO33,-0.5251503209999999,GrantsGO34
GrantsGO2307,-0.498805245,GrantsGO34
GrantsGO29,-0.4406086275,GrantsGO34
GrantsGO3673,-0.4237692096,GrantsGO34
GrantsGO75,-0.40165023624999996,GrantsGO34
GrantsGO984,-0.3796303135,GrantsGO34
GrantsGO460,-0.3384606414,GrantsGO34
GrantsGO5104,-1.1470085738571427,GrantsGO41
GrantsGO5066,-0.6823556719999999,GrantsGO41
GrantsGO3243,-0.6803705943333334,GrantsGO41
GrantsGO2933,-0.6773702535,GrantsGO41
GrantsGO4893,-0.6717255987499999,GrantsGO41
GrantsGO4573,-0.67066757675,GrantsGO41
GrantsGO663,-0.670375964,GrantsGO41
GrantsGO1737,-0.668803806,GrantsGO41
GrantsGO3337,-0.6601653728,GrantsGO41
GrantsGO4166,-0.658983617,GrantsGO41
GrantsGO5535,-1.1813703984,GrantsGO31
GrantsGO4822,-0.7861214364,GrantsGO31
GrantsGO2307,-0.6225700024999999,GrantsGO31
GrantsGO29,-0.5561732149999999,GrantsGO31
GrantsGO30,-0.541040415,GrantsGO31
GrantsGO3673,-0.4612784814,GrantsGO31
GrantsGO75,-0.41429107374999996,GrantsGO31
GrantsGO461,-0.38986022899999995,GrantsGO31
GrantsGO4096,-0.38278700699999996,GrantsGO31
GrantsGO4593,-0.3713322455,GrantsGO31
GrantsGO34,-1.125150321,GrantsGO33
GrantsGO4490,-1.048736886,GrantsGO33
GrantsGO2279,-0.7256868371999999,GrantsGO33
GrantsGO75,-0.6548443058,GrantsGO33
GrantsGO2307,-0.6497999187999999,GrantsGO33
GrantsGO3673,-0.6374493159999999,GrantsGO33
Tenders6162aa1fe1b7f5c73e6fe7e4,-0.554514004,GrantsGO33
GrantsGO3528,-0.526417159,GrantsGO33
GrantsGO4746,-0.5079934298,GrantsGO33
GrantsGO4397,-0.46837597179999996,GrantsGO33
GrantsGO4340,-1.1897987511666666,GrantsGO30
GrantsGO5536,-1.1829630076666666,GrantsGO30
GrantsGO4821,-0.9231319201666667,GrantsGO30
GrantsGO1705,-0.38580629279999995,GrantsGO30
GrantsGO4971,-0.377418726,GrantsGO30
GrantsGO2279,-0.37389804249999997,GrantsGO30
GrantsGO4521,-0.36596474074999996,GrantsGO30
GrantsGO29,-0.35706672249999993,GrantsGO30
GrantsGO31,-0.341040415,GrantsGO30
GrantsGO1626,-0.25380545891666667,GrantsGO30
GrantsGO4926,-1.13297291425,GrantsGO32
GrantsGO4397,-0.954614254,GrantsGO32
GrantsGO4944,-0.9514764322,GrantsGO32
GrantsGO461,-0.5802749899999999,GrantsGO32
GrantsGO5214,-0.56293743,GrantsGO32
GrantsGO3074,-0.55920178375,GrantsGO32
GrantsGO5056,-0.5591714502499999,GrantsGO32
GrantsGO4383,-0.55917065625,GrantsGO32
GrantsGO2307,-0.475042103,GrantsGO32
GrantsGO29,-0.46675306099999997,GrantsGO32
GrantsGO4638,-1.1850853691428571,GrantsGO70
GrantsGO5536,-0.39000163099999996,GrantsGO70
GrantsGO1705,-0.38500594549999995,GrantsGO70
GrantsGO30,-0.378831027,GrantsGO70
GrantsGO5470,-0.3671042254,GrantsGO70
GrantsGO3396,-0.36349180974999995,GrantsGO70
GrantsGO2535,-0.31678250999999996,GrantsGO70
GrantsGO234,-0.31151535075,GrantsGO70
GrantsGO1854,-0.3021463214,GrantsGO70
GrantsGO5069,-0.29868301099999994,GrantsGO70
GrantsGO4653,-1.1629896082,GrantsGO73
GrantsGO2034,-0.6029390609166666,GrantsGO73
GrantsGO4765,-0.4980077183333333,GrantsGO73
GrantsGO2000,-0.4847101397333333,GrantsGO73
GrantsGO2650,-0.36356090039999994,GrantsGO73
GrantsGO3633,-0.3629902062,GrantsGO73
GrantsGO2535,-0.3612069222,GrantsGO73
GrantsGO2651,-0.36118905079999997,GrantsGO73
GrantsGO2653,-0.3611796826,GrantsGO73
GrantsGO2652,-0.34949444039999994,GrantsGO73
GrantsGO34,-1.1406086275,GrantsGO29
GrantsGO4970,-0.9330341308,GrantsGO29
GrantsGO4746,-0.8771911069999999,GrantsGO29
GrantsGO2236,-0.8689242075,GrantsGO29
GrantsGO2093,-0.8299457625,GrantsGO29
GrantsGO4564,-0.7975251624999999,GrantsGO29
GrantsGO2941,-0.713304927,GrantsGO29
GrantsGO1334,-0.7122044433333333,GrantsGO29
GrantsGO461,-0.6995762966666667,GrantsGO29
GrantsGO102,-0.6865916533333333,GrantsGO29
GrantsGO520,-1.1820564821428572,GrantsGO37
GrantsGO27,-0.3085042460571428,GrantsGO37
GrantsGO4970,-0.28936710719047615,GrantsGO37
GrantsGO4971,-0.2506772803571428,GrantsGO37
GrantsGO5417,-0.2365606166428571,GrantsGO37
GrantsGO4391,-0.23507904239285712,GrantsGO37
GrantsGO34,-0.2224526161428571,GrantsGO37
GrantsGO3728,-0.2110406809428571,GrantsGO37
GrantsGO4746,-0.2012027411428571,GrantsGO37
GrantsGO29,-0.1754757601428571,GrantsGO37
GrantsGO4506,-1.0894093966666667,GrantsGO83
GrantsGO3633,-0.8088327861999999,GrantsGO83
GrantsGO4765,-0.8026145374999999,GrantsGO83
GrantsGO3727,-0.7808590105,GrantsGO83
GrantsGO2000,-0.5326194664,GrantsGO83
GrantsGO2072,-0.51987597925,GrantsGO83
GrantsGO2847,-0.51403501325,GrantsGO83
Tenders6162aa1fe1b7f5c73e6fe4ea,-0.5109566566666667,GrantsGO83
GrantsGO4653,-0.5088506306,GrantsGO83
GrantsGO900,-0.5067261096666666,GrantsGO83
GrantsGO2307,-1.185378361,GrantsGO75
GrantsGO3673,-0.9685465280681818,GrantsGO75
GrantsGO4490,-0.6314527607954544,GrantsGO75
GrantsGO2279,-0.4620717224545454,GrantsGO75
GrantsGO34,-0.4471047817045454,GrantsGO75
GrantsGO4794,-0.4462271957045454,GrantsGO75
GrantsGO33,-0.2912079421636363,GrantsGO75
GrantsGO5585,-0.2838207545227272,GrantsGO75
Tenders6162aa1fe1b7f5c73e6fe4ca,-0.2660499213636363,GrantsGO75
Tenders6162aa1fe1b7f5c73e6fe32a,-0.24151145727272721,GrantsGO75
GrantsGO3423,-1.1793216819999999,GrantsGO87
GrantsGO5274,-0.948173195,GrantsGO87
GrantsGO2901,-0.7478701071666666,GrantsGO87
GrantsGO5149,-0.7448579096,GrantsGO87
GrantsGO4714,-0.6919405384999999,GrantsGO87
GrantsGO5031,-0.5860177302,GrantsGO87
GrantsGO81,-0.5786525246666666,GrantsGO87
GrantsGO2922,-0.57396494675,GrantsGO87
GrantsGO3246,-0.5715515714,GrantsGO87
GrantsGO5115,-0.5611259858,GrantsGO87
GrantsGO2899,-1.1556830573999999,GrantsGO81
GrantsGO5031,-0.7734393253999999,GrantsGO81
GrantsGO1760,-0.7341523564,GrantsGO81
GrantsGO4714,-0.6949287238333333,GrantsGO81
GrantsGO2359,-0.6646327887499999,GrantsGO81
GrantsGO2922,-0.58229722025,GrantsGO81
GrantsGO2742,-0.5797971835,GrantsGO81
GrantsGO5223,-0.5792974358333333,GrantsGO81
GrantsGO87,-0.5786525246666666,GrantsGO81
GrantsGO3423,-0.5611887456,GrantsGO81
GrantsGO554,-1.1831105216666666,GrantsGO59
GrantsGO3258,-0.7527606836666666,GrantsGO59
GrantsGO1977,-0.5479207253333334,GrantsGO59
GrantsGO4629,-0.44379469783333336,GrantsGO59
GrantsGO2747,-0.29841226299999996,GrantsGO59
GrantsGO4900,-0.2937255741666666,GrantsGO59
GrantsGO3365,-0.29218897299999996,GrantsGO59
GrantsGO5081,-0.291495501,GrantsGO59
GrantsGO1591,-0.2599582426666667,GrantsGO59
GrantsGO4915,-0.25612652199999997,GrantsGO59
GrantsGO315,-1.1433373234285713,GrantsGO86
GrantsGO1327,-0.8701859380571428,GrantsGO86
GrantsGO2995,-0.5188246942,GrantsGO86
GrantsGO2463,-0.2806695011071428,GrantsGO86
GrantsGO3072,-0.2594367324571428,GrantsGO86
GrantsGO1929,-0.21913944145714281,GrantsGO86
GrantsGO2935,-0.19982340114285713,GrantsGO86
GrantsGO2162,-0.19668223214285713,GrantsGO86
GrantsGO2464,-0.18448750754285712,GrantsGO86
GrantsGO4780,-0.1599610591428571,GrantsGO86
GrantsGO4496,-1.1833129206,GrantsGO93
GrantsGO5018,-0.7934962254999999,GrantsGO93
GrantsGO3410,-0.78548176075,GrantsGO93
GrantsGO3331,-0.7850007529999999,GrantsGO93
GrantsGO4456,-0.78441642075,GrantsGO93
GrantsGO4295,-0.7798098953333332,GrantsGO93
GrantsGO4576,-0.7676486967499999,GrantsGO93
GrantsGO5256,-0.7581465667499999,GrantsGO93
GrantsGO5097,-0.7581120323333332,GrantsGO93
GrantsGO5068,-0.7576860262499999,GrantsGO93
GrantsGO1212,-1.137194628,GrantsGO188
GrantsGO4600,-0.8562773583999999,GrantsGO188
GrantsGO236,-0.8463103511999999,GrantsGO188
GrantsGO5455,-0.8443024241999999,GrantsGO188
GrantsGO5067,-0.8425200953333333,GrantsGO188
GrantsGO999,-0.8407622932,GrantsGO188
GrantsGO1999,-0.839294076,GrantsGO188
